theme,url,img,lines,author
COURAGE,/inspirational-quotes/8433-if-you-want-to-change-the-world-pick-up-your,https://assets.passiton.com/quotes/quote_artwork/8433/medium/20240621_friday_quote.jpg,"If you want to change the world, pick up your pen and write.",<Author:0x00007f0d86539978>
COURAGE,/inspirational-quotes/8432-you-must-never-ever-give-out-we-must-keep-the,https://assets.passiton.com/quotes/quote_artwork/8432/medium/20240620_thursday_quote.jpg,"You must never, ever give out. We must keep the faith because we are one people. We are brothers and sisters. We all live in the same house: The American house.",<Author:0x00007f0d865a1528>
COURAGE,/inspirational-quotes/8431-without-a-struggle-there-can-be-no-progress,https://assets.passiton.com/quotes/quote_artwork/8431/medium/20240619_wednesday_quote.jpg,"Without a struggle, there can be no progress.",<Author:0x00007f0d865838e8>
COURAGE,/inspirational-quotes/7681-success-is-to-be-measured-not-so-much-by-the,https://assets.passiton.com/quotes/quote_artwork/7681/medium/20240618_tuesday_quote_updated.jpg,Success is to be measured not so much by the position that one has reached in life as by the obstacles which they have overcome.,<Author:0x00007f0d865e29d8>
COURAGE,/inspirational-quotes/7862-you-can-choose-courage-or-you-can-choose,https://assets.passiton.com/quotes/quote_artwork/7862/medium/20240617_monday_quote.jpg,"You can choose courage, or you can choose comfort, but you cannot choose both.",<Author:0x00007f0d865cbb48>
VOLUNTEERING,/inspirational-quotes/8430-how-wonderful-it-is-that-nobody-need-wait-a,https://assets.passiton.com/quotes/quote_artwork/8430/medium/20240614_friday_quote.jpg,How wonderful it is that nobody need wait a single moment before starting to improve the world.,<Author:0x00007f0d865b3930>
VOLUNTEERING,/inspirational-quotes/7850-at-the-end-of-the-day-its-not-about-what-you,https://assets.passiton.com/quotes/quote_artwork/7850/medium/20240613_thursday_quote.jpg,"At the end of the day, it's not about what you have or even what you've accomplished… It's about who you've lifted up, who you've made better. It's about what you've given back.",<Author:0x00007f0d8660abb8>
VOLUNTEERING,/inspirational-quotes/6809-the-smallest-act-of-kindness-is-worth-more-than,https://assets.passiton.com/quotes/quote_artwork/6809/medium/20240612_wednesday_quote.jpg,The smallest act of kindness is worth more than the grandest intention.,<Author:0x00007f0d865f29a0>
VOLUNTEERING,/inspirational-quotes/7077-the-best-way-to-find-yourself-is-to-lose,https://assets.passiton.com/quotes/quote_artwork/7077/medium/20240611_tuesday_quote.jpg,The best way to find yourself is to lose yourself in the service of others.,<Author:0x00007f0d86649db8>
VOLUNTEERING,/inspirational-quotes/7523-volunteers-do-not-necessarily-have-the-time,https://assets.passiton.com/quotes/quote_artwork/7523/medium/20240610_monday_quote.jpg,Volunteers do not necessarily have the time; they just have the heart.,<Author:0x00007f0d866320c8>
KINDNESS,/inspirational-quotes/4228-good-words-bring-good-feelings-to-the-heart,https://assets.passiton.com/quotes/quote_artwork/4228/medium/20240607_friday_quote.jpg,"Good words bring good feelings to the heart. Speak with kindness, always. ",<Author:0x00007f0d8668a9d0>
KINDNESS,/inspirational-quotes/8270-sometimes-miracles-are-just-good-people-with,https://assets.passiton.com/quotes/quote_artwork/8270/medium/20240606_thursday_quote.jpg,Sometimes miracles are just good people with kind hearts.,<Author:0x00007f0d86671200>
KINDNESS,/inspirational-quotes/8165-extend-yourself-in-kindness-to-other-human,https://assets.passiton.com/quotes/quote_artwork/8165/medium/20240605_wednesday_quote.jpg,Extend yourself in kindness to other human beings wherever you can.,<Author:0x00007f0d866596f0>
KINDNESS,/inspirational-quotes/7838-unexpected-kindness-is-the-most-powerful-least,https://assets.passiton.com/quotes/quote_artwork/7838/medium/20240604_tuesday_quote.jpg,"Unexpected kindness is the most powerful, least costly, and most underrated agent of human change.",<Author:0x00007f0d866b1198>
KINDNESS,/inspirational-quotes/6666-no-act-of-kindness-no-matter-how-small-is,https://assets.passiton.com/quotes/quote_artwork/6666/medium/20240603_monday_quote.jpg,"No act of kindness, no matter how small, is ever wasted.",<Author:0x00007f0d866991d8>
APPRECIATION,/inspirational-quotes/3254-appreciation-can-make-a-day-even-change-a,https://assets.passiton.com/quotes/quote_artwork/3254/medium/20240531_friday_quote.jpg,"Appreciation can make a day, even change a life. Your willingness to put it into words is all that is necessary.",<Author:0x00007f0d866f33b8>
APPRECIATION,/inspirational-quotes/6639-sometimes-you-will-never-know-the-value-of-a,https://assets.passiton.com/quotes/quote_artwork/6639/medium/20240530_thursday_quote.jpg,Sometimes you will never know the value of a moment until it becomes a memory.,<Author:0x00007f0d866d8d38>
APPRECIATION,/inspirational-quotes/6811-now-and-then-its-good-to-pause-in-our-pursuit,https://assets.passiton.com/quotes/quote_artwork/6811/medium/20240529_wednesday_quote.jpg,Now and then it's good to pause in our pursuit of happiness and just be happy.,<Author:0x00007f0d86739570>
APPRECIATION,/inspirational-quotes/8381-strive-to-find-things-to-be-thankful-for-and,https://assets.passiton.com/quotes/quote_artwork/8381/medium/20240528_tuesday_quote.jpg,"Strive to find things to be thankful for, and just look for the good in who you are.",<Author:0x00007f0d86720b10>
APPRECIATION,/inspirational-quotes/7426-as-we-express-our-gratitude-we-must-never,https://assets.passiton.com/quotes/quote_artwork/7426/medium/20240527_monday_quote.jpg,"As we express our gratitude, we must never forget that the highest appreciation is not to utter words, but to live by them.",<Author:0x00007f0d86708c68>
SELF-CARE,/inspirational-quotes/8258-mind-body-soul-these-are-the-three-things,https://assets.passiton.com/quotes/quote_artwork/8258/medium/20240524_friday_quote.jpg,Mind. Body. Soul. These are the three things self-care is all about.,<Author:0x00007f0d8676b9a8>
SELF-CARE,/inspirational-quotes/6899-adopt-the-pace-of-nature-her-secret-is-patience,https://assets.passiton.com/quotes/quote_artwork/6899/medium/20240523_thursday_quote.jpg,Adopt the pace of nature: her secret is patience.,<Author:0x00007f0d86749998>
SELF-CARE,/inspirational-quotes/7055-there-s-only-one-corner-of-the-universe-you-can,https://assets.passiton.com/quotes/quote_artwork/7055/medium/20240522_wednesday_quote.jpg,"There’s only one corner of the universe you can be certain of improving, and that’s your own self.",<Author:0x00007f0d867c01d8>
SELF-CARE,/inspirational-quotes/7237-if-your-compassion-does-not-include-yourself,https://assets.passiton.com/quotes/quote_artwork/7237/medium/20240521_tuesday_quote.jpg,"If your compassion does not include yourself, it is incomplete.",<Author:0x00007f0d867a0950>
SELF-CARE,/inspirational-quotes/7961-talk-to-yourself-like-you-would-to-someone-you,https://assets.passiton.com/quotes/quote_artwork/7961/medium/20240520_monday_quote.jpg,Talk to yourself like you would to someone you love.,<Author:0x00007f0d86803550>
GET OUTSIDE,/inspirational-quotes/7928-the-world-is-incomprehensibly-beautiful-an,https://assets.passiton.com/quotes/quote_artwork/7928/medium/20240517_friday_quote.jpg,The world is incomprehensibly beautiful—an endless prospect of magic and wonder.,<Author:0x00007f0d867e8980>
GET OUTSIDE,/inspirational-quotes/8131-nature-brings-solace-in-all-troubles,https://assets.passiton.com/quotes/quote_artwork/8131/medium/20240516_thursday_quote.jpg,Nature brings solace in all troubles.,<Author:0x00007f0d867d0718>
GET OUTSIDE,/inspirational-quotes/8428-spring-is-natures-way-of-saying-lets-party,https://assets.passiton.com/quotes/quote_artwork/8428/medium/20240515_wednesday_quote.jpg,"Spring is nature's way of saying, 'Let's party!’",<Author:0x00007f0d868381d8>
GET OUTSIDE,/inspirational-quotes/8380-the-wilderness-holds-answers-to-questions-we,https://assets.passiton.com/quotes/quote_artwork/8380/medium/20240514_tuesday_quote.jpg,The wilderness holds answers to questions we have not yet learned to ask.,<Author:0x00007f0d8681b510>
GET OUTSIDE,/inspirational-quotes/8226-an-early-morning-walk-is-a-blessing-for-the,https://assets.passiton.com/quotes/quote_artwork/8226/medium/20240513_monday_quote.jpg,An early morning walk is a blessing for the whole day.,<Author:0x00007f0d86873f08>
INCLUSION,/inspirational-quotes/8427-we-should-indeed-keep-calm-in-the-face-of,https://assets.passiton.com/quotes/quote_artwork/8427/medium/20240510_friday_quote.jpg,"We should indeed keep calm in the face of difference, and live our lives in a state of inclusion and wonder at the diversity of humanity.",<Author:0x00007f0d8685bd68>
INCLUSION,/inspirational-quotes/7966-we-all-came-in-on-different-ships-but-were-all,https://assets.passiton.com/quotes/quote_artwork/7966/medium/20240509_thursday_quote.jpg,"We all came in on different ships, but we're all in the same boat now.",<Author:0x00007f0d868e38a8>
INCLUSION,/inspirational-quotes/8383-strength-lies-in-differences-not-in-similarities,https://assets.passiton.com/quotes/quote_artwork/8383/medium/20240508_wednesday_quote.jpg,"Strength lies in differences, not in similarities.",<Author:0x00007f0d868cb668>
